exclusion_year,record_count
,6905
1908,1
1978,4
1979,2
1980,1
1981,3
1982,4
1983,9
1984,7
1985,22
1986,22
1987,20
1988,87
1989,483
1990,669
1991,861
1992,148
1993,2170
1994,1541
1995,1660
1996,2097
1997,3520
1998,4322
1999,4006
2000,5429
2001,5408
2002,5312
2003,4849
2004,5409
2005,4046
2006,3567
2007,3260
2008,3391
2009,2814
2010,2912
2011,3139
2012,3636
2013,3909
2014,4278
2015,4245
2016,4730
2017,4618
2018,3522
2019,3149
2020,2568
2021,2322
2022,730
2023,1084
2024,1877
2025,1329
2084,1
2099,1
